list_name, object_name, reward_key, money, details, reputation, isUsed
list_4292,object_3172,explorer_galactic,300,40,40,1
list_4292,object_8664,explorer_astronomical,700,60,46,1
list_4292,object_2248,explorer_planetary,100,20,29,1
list_4292,object_4765,planet_dark,400,30,28,1
list_4292,object_8115,explorer_alien,900,60,81,1
list_4292,object_3967,explorer_extraterrestrial,800,0,6,1
list_4292,object_7568,explorer_meteoric,100,60,27,1
list_4292,object_8981,explorer_spatial,500,30,91,1
list_4292,object_2000,explorer_nebular,500,60,42,1
list_4292,object_1429,spacecraft_interstellar,200,50,94,1
list_4292,object_7974,cosmos_planetary,600,60,70,1
list_4292,object_9092,explorer_infinite,0,90,65,1
list_4292,object_1058,explorer_mystic,900,40,98,1
list_4292,object_6258,explorer_ethereal,300,0,16,1
list_4292,object_9733,explorer_luminous,100,80,45,1
list_4292,object_1930,voyager_cosmic,300,50,63,1
list_4292,object_4490,voyager_stellar,600,10,36,1
list_4292,object_3660,voyager_interstellar,500,30,31,1
list_4292,object_7721,constellation_mystic,600,80,78,1
list_7463,object_6813,explorer_cosmic,500,10,62,1
list_7463,object_4593,explorer_stellar,300,60,60,1
list_7463,object_6516,universe_infinite,900,40,4,1
list_7463,object_4864,explorer_celestial,100,80,13,1
list_7463,object_1866,explorer_lunar,200,50,95,1
list_7463,object_3172,explorer_galactic,300,40,40,1
list_7463,object_8664,explorer_astronomical,700,60,46,1
list_7463,object_2248,explorer_planetary,100,20,29,1
list_7463,object_4765,planet_dark,400,30,28,1
list_7463,object_8115,explorer_alien,900,60,81,1
list_7910,object_6813,explorer_cosmic,500,10,62,1
list_7910,object_4593,explorer_stellar,300,60,60,1
list_7910,object_6516,universe_infinite,900,40,4,1
list_7910,object_4864,explorer_celestial,100,80,13,1
list_7910,object_1866,explorer_lunar,200,50,95,1
list_7910,object_3172,explorer_galactic,300,40,40,1
list_7910,object_8664,explorer_astronomical,700,60,46,1
list_7910,object_2248,explorer_planetary,100,20,29,1
list_7910,object_4765,planet_dark,400,30,28,1
list_7910,object_8115,explorer_alien,900,60,81,1
list_7910,object_3967,explorer_extraterrestrial,800,0,6,1
list_7910,object_7568,explorer_meteoric,100,60,27,1
list_7910,object_8981,explorer_spatial,500,30,91,1
list_7910,object_2000,explorer_nebular,500,60,42,1
list_7910,object_1429,spacecraft_interstellar,200,50,94,1
list_7910,object_7974,cosmos_planetary,600,60,70,1
list_7910,object_9092,explorer_infinite,0,90,65,1
list_7910,object_1058,explorer_mystic,900,40,98,1
list_7910,object_6258,explorer_ethereal,300,0,16,1
list_7910,object_9733,explorer_luminous,100,80,45,1
list_7910,object_1930,voyager_cosmic,300,50,63,1
list_2538,object_6813,explorer_cosmic,500,10,62,1
list_2538,object_4593,explorer_stellar,300,60,60,1
list_2538,object_6516,universe_infinite,900,40,4,1
list_2538,object_4864,explorer_celestial,100,80,13,1
list_2538,object_1866,explorer_lunar,200,50,95,1
list_2538,object_3172,explorer_galactic,300,40,40,1
list_2538,object_8664,explorer_astronomical,700,60,46,1
list_2538,object_2248,explorer_planetary,100,20,29,1
list_2538,object_4765,planet_dark,400,30,28,1
list_2538,object_8115,explorer_alien,900,60,81,1
list_2538,object_3967,explorer_extraterrestrial,800,0,6,1
list_2538,object_7568,explorer_meteoric,100,60,27,1
list_2538,object_8981,explorer_spatial,500,30,91,1
list_2538,object_2000,explorer_nebular,500,60,42,1
list_2538,object_1429,spacecraft_interstellar,200,50,94,1
list_2538,object_7974,cosmos_planetary,600,60,70,1
list_2538,object_9092,explorer_infinite,0,90,65,1
list_2538,object_1058,explorer_mystic,900,40,98,1
list_2538,object_6258,explorer_ethereal,300,0,16,1
list_2538,object_9733,explorer_luminous,100,80,45,1
list_2538,object_1930,voyager_cosmic,300,50,63,1
list_2538,object_4490,voyager_stellar,600,10,36,1
list_1558,object_6813,explorer_cosmic,500,10,62,1
list_1558,object_4593,explorer_stellar,300,60,60,1
list_1558,object_6516,universe_infinite,900,40,4,1
list_1558,object_4864,explorer_celestial,100,80,13,1
list_1558,object_1866,explorer_lunar,200,50,95,1
list_1558,object_3172,explorer_galactic,300,40,40,1
list_1558,object_8664,explorer_astronomical,700,60,46,1
list_1558,object_2248,explorer_planetary,100,20,29,1
list_1558,object_4765,planet_dark,400,30,28,1
list_1558,object_8115,explorer_alien,900,60,81,1
list_1558,object_3967,explorer_extraterrestrial,800,0,6,1
list_1558,object_7568,explorer_meteoric,100,60,27,1
list_1558,object_8981,explorer_spatial,500,30,91,1
list_1558,object_2000,explorer_nebular,500,60,42,1
list_1558,object_1429,spacecraft_interstellar,200,50,94,1
list_1558,object_7974,cosmos_planetary,600,60,70,1
list_1558,object_9092,explorer_infinite,0,90,65,1
list_1558,object_1058,explorer_mystic,900,40,98,1
list_1558,object_6258,explorer_ethereal,300,0,16,1
list_1558,object_9733,explorer_luminous,100,80,45,1
list_1558,object_1930,voyager_cosmic,300,50,63,1
list_1558,object_4490,voyager_stellar,600,10,36,1
list_1558,object_3660,voyager_interstellar,500,30,31,1
list_1558,object_7721,constellation_mystic,600,80,78,1
list_1558,object_7435,voyager_lunar,500,30,32,1
list_1558,object_4720,voyager_galactic,900,0,83,1
list_1558,object_8425,voyager_astronomical,0,10,62,1
list_9698,object_6813,explorer_cosmic,500,10,62,1
list_9698,object_4593,explorer_stellar,300,60,60,1
list_9698,object_6516,universe_infinite,900,40,4,1
list_9698,object_4864,explorer_celestial,100,80,13,1
list_9698,object_1866,explorer_lunar,200,50,95,1
list_9698,object_3172,explorer_galactic,300,40,40,1
list_9698,object_8664,explorer_astronomical,700,60,46,1
list_9698,object_2248,explorer_planetary,100,20,29,1
list_9698,object_4765,planet_dark,400,30,28,1
list_9698,object_8115,explorer_alien,900,60,81,1
list_9698,object_3967,explorer_extraterrestrial,800,0,6,1
list_9698,object_7568,explorer_meteoric,100,60,27,1
list_9370,object_6813,explorer_cosmic,500,10,62,1
list_9370,object_4593,explorer_stellar,300,60,60,1
list_9370,object_6516,universe_infinite,900,40,4,1
list_9370,object_4864,explorer_celestial,100,80,13,1
list_9370,object_1866,explorer_lunar,200,50,95,1
list_9370,object_3172,explorer_galactic,300,40,40,1
list_9370,object_8664,explorer_astronomical,700,60,46,1
list_9370,object_2248,explorer_planetary,100,20,29,1
list_9370,object_4765,planet_dark,400,30,28,1
list_9370,object_8115,explorer_alien,900,60,81,1
list_9370,object_3967,explorer_extraterrestrial,800,0,6,1
list_9370,object_7568,explorer_meteoric,100,60,27,1
list_9370,object_8981,explorer_spatial,500,30,91,1
list_9370,object_2000,explorer_nebular,500,60,42,1
list_9370,object_1429,spacecraft_interstellar,200,50,94,1
list_9370,object_7974,cosmos_planetary,600,60,70,1
list_6599,object_6813,explorer_cosmic,500,10,62,1
list_6599,object_4593,explorer_stellar,300,60,60,1
list_6599,object_6516,universe_infinite,900,40,4,1
list_6599,object_4864,explorer_celestial,100,80,13,1
list_6599,object_1866,explorer_lunar,200,50,95,1
list_6599,object_3172,explorer_galactic,300,40,40,1
list_6599,object_8664,explorer_astronomical,700,60,46,1
list_6599,object_2248,explorer_planetary,100,20,29,1
list_6599,object_4765,planet_dark,400,30,28,1
list_6599,object_8115,explorer_alien,900,60,81,1
list_6599,object_3967,explorer_extraterrestrial,800,0,6,1
list_6599,object_7568,explorer_meteoric,100,60,27,1
list_6599,object_8981,explorer_spatial,500,30,91,1
list_6599,object_2000,explorer_nebular,500,60,42,1
list_6599,object_1429,spacecraft_interstellar,200,50,94,1
list_5416,object_6813,explorer_cosmic,500,10,62,1
list_5416,object_4593,explorer_stellar,300,60,60,1
list_5416,object_6516,universe_infinite,900,40,4,1
list_5416,object_4864,explorer_celestial,100,80,13,1
list_5416,object_1866,explorer_lunar,200,50,95,1
list_5416,object_3172,explorer_galactic,300,40,40,1
list_5416,object_8664,explorer_astronomical,700,60,46,1
list_5416,object_2248,explorer_planetary,100,20,29,1
list_5416,object_4765,planet_dark,400,30,28,1
list_5416,object_8115,explorer_alien,900,60,81,1
list_5416,object_3967,explorer_extraterrestrial,800,0,6,1
list_6617,object_6813,explorer_cosmic,500,10,62,1
list_6617,object_4593,explorer_stellar,300,60,60,1
list_6617,object_6516,universe_infinite,900,40,4,1
list_6617,object_4864,explorer_celestial,100,80,13,1
list_6617,object_1866,explorer_lunar,200,50,95,1
list_6617,object_3172,explorer_galactic,300,40,40,1
list_6617,object_8664,explorer_astronomical,700,60,46,1
list_6617,object_2248,explorer_planetary,100,20,29,1
list_6617,object_4765,planet_dark,400,30,28,1
list_6617,object_8115,explorer_alien,900,60,81,1
list_6617,object_3967,explorer_extraterrestrial,800,0,6,1
list_6617,object_7568,explorer_meteoric,100,60,27,1
list_6617,object_8981,explorer_spatial,500,30,91,1
list_2635,object_6813,explorer_cosmic,500,10,62,1
list_2635,object_4593,explorer_stellar,300,60,60,1
list_2635,object_6516,universe_infinite,900,40,4,1
list_2635,object_4864,explorer_celestial,100,80,13,1
list_2635,object_1866,explorer_lunar,200,50,95,1
list_2635,object_3172,explorer_galactic,300,40,40,1
list_2635,object_8664,explorer_astronomical,700,60,46,1
list_2635,object_2248,explorer_planetary,100,20,29,1
list_2635,object_4765,planet_dark,400,30,28,1
list_2635,object_8115,explorer_alien,900,60,81,1
list_2635,object_3967,explorer_extraterrestrial,800,0,6,1
list_2635,object_7568,explorer_meteoric,100,60,27,1
list_2635,object_8981,explorer_spatial,500,30,91,1
list_2635,object_2000,explorer_nebular,500,60,42,1
list_2635,object_1429,spacecraft_interstellar,200,50,94,1
list_2635,object_7974,cosmos_planetary,600,60,70,1
list_2635,object_9092,explorer_infinite,0,90,65,1
list_1276,object_6813,explorer_cosmic,500,10,62,1
list_1276,object_4593,explorer_stellar,300,60,60,1
list_1276,object_6516,universe_infinite,900,40,4,1
list_1276,object_4864,explorer_celestial,100,80,13,1
list_1276,object_1866,explorer_lunar,200,50,95,1
list_1276,object_3172,explorer_galactic,300,40,40,1
list_1276,object_8664,explorer_astronomical,700,60,46,1
list_1276,object_2248,explorer_planetary,100,20,29,1
list_1276,object_4765,planet_dark,400,30,28,1
list_1276,object_8115,explorer_alien,900,60,81,1
list_1276,object_3967,explorer_extraterrestrial,800,0,6,1
list_1276,object_7568,explorer_meteoric,100,60,27,1
list_1276,object_8981,explorer_spatial,500,30,91,1
list_1276,object_2000,explorer_nebular,500,60,42,1
list_1276,object_1429,spacecraft_interstellar,200,50,94,1
list_1276,object_7974,cosmos_planetary,600,60,70,1
list_1276,object_9092,explorer_infinite,0,90,65,1
list_1276,object_1058,explorer_mystic,900,40,98,1
list_1276,object_6258,explorer_ethereal,300,0,16,1
list_1934,object_6813,explorer_cosmic,500,10,62,1
list_1934,object_4593,explorer_stellar,300,60,60,1
list_1934,object_6516,universe_infinite,900,40,4,1
list_1934,object_4864,explorer_celestial,100,80,13,1
list_1934,object_1866,explorer_lunar,200,50,95,1
list_1934,object_3172,explorer_galactic,300,40,40,1
list_1934,object_8664,explorer_astronomical,700,60,46,1
list_1934,object_2248,explorer_planetary,100,20,29,1
list_1934,object_4765,planet_dark,400,30,28,1
list_1934,object_8115,explorer_alien,900,60,81,1
list_1934,object_3967,explorer_extraterrestrial,800,0,6,1
list_1934,object_7568,explorer_meteoric,100,60,27,1
list_1934,object_8981,explorer_spatial,500,30,91,1
list_1934,object_2000,explorer_nebular,500,60,42,1
list_1934,object_1429,spacecraft_interstellar,200,50,94,1
list_1934,object_7974,cosmos_planetary,600,60,70,1
list_1934,object_9092,explorer_infinite,0,90,65,1
list_1934,object_1058,explorer_mystic,900,40,98,1
list_1934,object_6258,explorer_ethereal,300,0,16,1
list_1934,object_9733,explorer_luminous,100,80,45,1
list_1934,object_1930,voyager_cosmic,300,50,63,1
list_1934,object_4490,voyager_stellar,600,10,36,1
list_1934,object_3660,voyager_interstellar,500,30,31,1
list_1934,object_7721,constellation_mystic,600,80,78,1
list_1934,object_7435,voyager_lunar,500,30,32,1
list_1934,object_4720,voyager_galactic,900,0,83,1
list_1934,object_8425,voyager_astronomical,0,10,62,1
list_1934,object_5107,voyager_planetary,800,10,57,1
list_1934,object_5766,voyager_orbital,0,30,16,1
list_1934,object_8202,voyager_alien,700,70,70,1
list_1934,object_3250,voyager_extraterrestrial,700,80,98,1
list_1934,object_5100,voyager_meteoric,300,10,73,1
list_1934,object_7939,voyager_spatial,100,90,50,1
list_1934,object_3202,voyager_nebular,400,90,39,1
list_1934,object_4878,voyager_dark,500,80,34,1
list_1934,object_2822,voyager_radiant,100,0,0,1
list_1934,object_5018,voyager_infinite,300,20,39,1
list_1934,object_4211,voyager_mystic,800,30,13,1
list_1934,object_8486,voyager_ethereal,200,10,13,1
list_1934,object_5784,voyager_luminous,200,10,68,1
list_1934,object_9950,astronaut_cosmic,200,10,89,1
list_1934,object_4572,astronaut_stellar,500,50,20,1
list_1934,object_2254,astronaut_interstellar,100,80,21,1
list_1934,object_1818,astronaut_lunar,700,70,4,1
list_1934,object_8334,astronaut_galactic,600,90,49,1
list_1934,object_1204,astronaut_astronomical,100,0,8,1
list_1934,object_8615,astronaut_extraterrestrial,500,20,27,1
list_1934,object_1986,astronaut_orbital,500,20,41,1
list_1934,object_8091,astronaut_alien,600,10,74,1
list_9177,object_6813,explorer_cosmic,500,10,62,1
list_9177,object_4593,explorer_stellar,300,60,60,1
list_9177,object_6516,universe_infinite,900,40,4,1
list_9177,object_4864,explorer_celestial,100,80,13,1
list_9177,object_1866,explorer_lunar,200,50,95,1
list_9177,object_3172,explorer_galactic,300,40,40,1
list_9177,object_8664,explorer_astronomical,700,60,46,1
list_9177,object_2248,explorer_planetary,100,20,29,1
list_9177,object_4765,planet_dark,400,30,28,1
list_3424,object_6813,explorer_cosmic,500,10,62,1
list_3424,object_4593,explorer_stellar,300,60,60,1
list_3424,object_6516,universe_infinite,900,40,4,1
list_3424,object_4864,explorer_celestial,100,80,13,1
list_3424,object_1866,explorer_lunar,200,50,95,1
list_3424,object_3172,explorer_galactic,300,40,40,1
list_3424,object_8664,explorer_astronomical,700,60,46,1
list_3424,object_2248,explorer_planetary,100,20,29,1
list_3424,object_4765,planet_dark,400,30,28,1
list_3424,object_8115,explorer_alien,900,60,81,1
list_3424,object_3967,explorer_extraterrestrial,800,0,6,1
list_3424,object_7568,explorer_meteoric,100,60,27,1
list_3424,object_8981,explorer_spatial,500,30,91,1
list_3424,object_2000,explorer_nebular,500,60,42,1
list_3424,object_1429,spacecraft_interstellar,200,50,94,1
list_3424,object_7974,cosmos_planetary,600,60,70,1
list_3424,object_9092,explorer_infinite,0,90,65,1
list_3424,object_1058,explorer_mystic,900,40,98,1
list_3424,object_6258,explorer_ethereal,300,0,16,1
list_3424,object_9733,explorer_luminous,100,80,45,1
list_3424,object_1930,voyager_cosmic,300,50,63,1
list_3424,object_4490,voyager_stellar,600,10,36,1
list_3424,object_3660,voyager_interstellar,500,30,31,1
list_3424,object_7721,constellation_mystic,600,80,78,1
list_3424,object_7435,voyager_lunar,500,30,32,1
list_3424,object_4720,voyager_galactic,900,0,83,1
list_3424,object_8425,voyager_astronomical,0,10,62,1
list_3424,object_5107,voyager_planetary,800,10,57,1
list_3424,object_5766,voyager_orbital,0,30,16,1
list_3424,object_8202,voyager_alien,700,70,70,1
list_3424,object_3250,voyager_extraterrestrial,700,80,98,1
list_3424,object_5100,voyager_meteoric,300,10,73,1
list_3424,object_7939,voyager_spatial,100,90,50,1
list_3424,object_3202,voyager_nebular,400,90,39,1
list_3424,object_4878,voyager_dark,500,80,34,1
list_9208,object_6813,explorer_cosmic,500,10,62,1
list_9208,object_4593,explorer_stellar,300,60,60,1
list_9208,object_6516,universe_infinite,900,40,4,1
list_9208,object_4864,explorer_celestial,100,80,13,1
list_9208,object_1866,explorer_lunar,200,50,95,1
list_9208,object_3172,explorer_galactic,300,40,40,1
list_9208,object_8664,explorer_astronomical,700,60,46,1
list_9208,object_2248,explorer_planetary,100,20,29,1
list_9208,object_4765,planet_dark,400,30,28,1
list_9208,object_8115,explorer_alien,900,60,81,1
list_9208,object_3967,explorer_extraterrestrial,800,0,6,1
list_9208,object_7568,explorer_meteoric,100,60,27,1
list_9208,object_8981,explorer_spatial,500,30,91,1
list_9208,object_2000,explorer_nebular,500,60,42,1
list_9208,object_1429,spacecraft_interstellar,200,50,94,1
list_9208,object_7974,cosmos_planetary,600,60,70,1
list_9208,object_9092,explorer_infinite,0,90,65,1
list_5841,object_6813,explorer_cosmic,500,10,62,1
list_5841,object_4593,explorer_stellar,300,60,60,1
list_5841,object_6516,universe_infinite,900,40,4,1
list_5841,object_4864,explorer_celestial,100,80,13,1
list_5841,object_1866,explorer_lunar,200,50,95,1
list_5841,object_3172,explorer_galactic,300,40,40,1
list_5841,object_8664,explorer_astronomical,700,60,46,1
list_5841,object_2248,explorer_planetary,100,20,29,1
list_5841,object_4765,planet_dark,400,30,28,1
list_5841,object_8115,explorer_alien,900,60,81,1
list_5841,object_3967,explorer_extraterrestrial,800,0,6,1
list_5841,object_7568,explorer_meteoric,100,60,27,1
list_5841,object_8981,explorer_spatial,500,30,91,1
list_5841,object_2000,explorer_nebular,500,60,42,1
list_5841,object_1429,spacecraft_interstellar,200,50,94,1
list_2201,object_6813,explorer_cosmic,500,10,62,1
list_2201,object_4593,explorer_stellar,300,60,60,1
list_2201,object_6516,universe_infinite,900,40,4,1
list_2201,object_4864,explorer_celestial,100,80,13,1
list_2201,object_1866,explorer_lunar,200,50,95,1
list_2201,object_3172,explorer_galactic,300,40,40,1
list_2201,object_8664,explorer_astronomical,700,60,46,1
list_2201,object_2248,explorer_planetary,100,20,29,1
list_2201,object_4765,planet_dark,400,30,28,1
list_2201,object_8115,explorer_alien,900,60,81,1
list_2201,object_3967,explorer_extraterrestrial,800,0,6,1
list_2201,object_7568,explorer_meteoric,100,60,27,1
list_2201,object_8981,explorer_spatial,500,30,91,1
list_2201,object_2000,explorer_nebular,500,60,42,1
list_2201,object_1429,spacecraft_interstellar,200,50,94,1
list_2201,object_7974,cosmos_planetary,600,60,70,1
list_2201,object_9092,explorer_infinite,0,90,65,1
list_2201,object_1058,explorer_mystic,900,40,98,1
list_2201,object_6258,explorer_ethereal,300,0,16,1
list_2201,object_9733,explorer_luminous,100,80,45,1
list_2201,object_1930,voyager_cosmic,300,50,63,1
list_2201,object_4490,voyager_stellar,600,10,36,1
list_5353,object_6813,explorer_cosmic,500,10,62,1
list_5353,object_4593,explorer_stellar,300,60,60,1
list_5353,object_6516,universe_infinite,900,40,4,1
list_5353,object_4864,explorer_celestial,100,80,13,1
list_5353,object_1866,explorer_lunar,200,50,95,1
list_5353,object_3172,explorer_galactic,300,40,40,1
list_5353,object_8664,explorer_astronomical,700,60,46,1
list_5353,object_2248,explorer_planetary,100,20,29,1
list_7046,object_6813,explorer_cosmic,500,10,62,1
list_7046,object_4593,explorer_stellar,300,60,60,1
list_7046,object_6516,universe_infinite,900,40,4,1
list_7046,object_4864,explorer_celestial,100,80,13,1
list_7046,object_1866,explorer_lunar,200,50,95,1
list_7046,object_3172,explorer_galactic,300,40,40,1
list_7046,object_8664,explorer_astronomical,700,60,46,1
list_7046,object_2248,explorer_planetary,100,20,29,1
list_7046,object_4765,planet_dark,400,30,28,1
list_7046,object_8115,explorer_alien,900,60,81,1
list_7046,object_3967,explorer_extraterrestrial,800,0,6,1
list_7046,object_7568,explorer_meteoric,100,60,27,1
list_7046,object_8981,explorer_spatial,500,30,91,1
list_7046,object_2000,explorer_nebular,500,60,42,1
list_2216,object_6813,explorer_cosmic,500,10,62,1
